get_info,get_aggregate,get_employees,get_salary,get_salary_aggregate,get_salary_employees,get_date,get_date_range_aggregate,get date_range_employees,get_hierarchy
what does {Mia|name} do,How many employees are there in {sales|department},who is not {married|maritaldesc},{Mia|name} {Payroll|money} {Salary|money},what is the {total|function} amount of {money|money} {earned|money} by {women|sex},I want the {salaries|money} for people working in the {sales department|department},find me the official {start date|date_time} of {Mia|name} at this company,,{non citizens|citizendesc} {terminated|employment_action} in {2015|sys_time},i want the {reporting|manager} {manager|manager} for both {Mia|name} and {Nan|name}
tell me what is {Mia|name}'s citizenship status,How many people have worked here since {2015|sys_time}?,{divorced|maritaldesc} employees,{Mia|name} {pay|money} info,amount of {money|money} {earned|money} by {females|sex} in {total|function},{sales department|department} {salaries|money},when did {Amy|name} officially {join|employment_action} the company,,{singles|maritaldesc} {fired|employment_action} {last year|sys_time},tell me the {supervisor|manager} that is {reponsible for|manager} {Nan|name} as well as the {supervisor|manager} reponsible for {Mia|name}
is {Mia|name} a {citizen|citizendesc},How many employees are {C-levels|title}?,give me a list of {separated employees|maritaldesc},{Mia|name} {salary|money} amount info,"what is the {fraction|function} of {female|sex} employees that {make|money} {above|comparator} {$75,000|sys_amount-of-money}",show me the employee {salaries|money} for {females|sex} {hired in the last 2 years|date_time},{Nan|name} {firing date|date_time},,{married|maritaldesc} employees {hired|employment_action} {last year|sys_time},
which branch is {Nan|name} working in,What is the total number of {Black or African American|racedesc} folks that currently work in the US?,employees that are {separated|maritaldesc},Tell me how much {Mia|name} {making|money},"i want the {fraction|function} of employees in the {Sales department|department} that are {making|money} exactly {$70,000|sys_amount-of-money}",what are the {salaries|money} for {active|employment_status} employees,{Amy|name} {date of fire|date_time},,{divorced|maritaldesc} folks that had their employment {terminated|employment_action} in the {last year|sys_time},
why did we {let go|employment_action} of {Nan|name},How many of {Mia Brown|name}'s reports left the company?,workers that have been {divorced|maritaldesc},What is {Mia|name} {making|money},what is the {porportion|function} of workers {making|money} {less than|comparator} {$30|sys_amount-of-money} {an hour|sys_duration},what are the {salaries|money} for employees that have been {fired|employment_action},{Mia|name} {date of employment termination|date_time},,white employees {born|date_time} {after 1990|sys_interval},
did we {fire|employment_action} Mr. {Nan|name} Singh,How many people are there under {30|sys_number}?,employees between the {age of|age} {20|sys_number} and {40|sys_number},What does {Mia|name} {make|money} on the {Payroll|money},what is the {lowest|extreme} {pay|money} in the {Sales department|department},show me the {highest|extreme} {earning|money} {IT Director|position} salary,employment {termination date|date_time} {Amy|name},,{90's|time_interval} {born|date_time} {white|racedesc} employees,
can you desribe the race of {Nan|name} Singh,how many employees work for the {collab department|department}?,employees in their {20|sys_number}'s,What is cisco giving {Mia|name} to {pay|money} her,what is the {total|function} {pay|money} in the {sales department|department},who is the {highest|extreme} {earning|money} {IT Director|position} and what is {he|sex} or {she|sex} {earning|money},{Mia|name} was {fired on which date|date_time},,{asians|racedesc} {born in|date_time} the {80's|time_interval},
give me {Nan|name}'s race please,How many managers are there?,{20|sys_number} {yr old|age} employees,What is {Mia|name}'s {hourly|time_interval} {salary|money},how much are all the employees in the {sales department|department} getting {paid|money} in {total|function},{IT support|position} {top|extreme} {earner|money},{Mia|name} {termination date|date_time},,find me the {asians|racedesc} {born|date_time} {between 1980 and today|sys_interval},
how did {Nan|name} hear about us,What are the {M/F|sex} ratios in different departments?,{34|sys_number} {year old|age} employees,What does {Mia|name} {make|money} {on the hour|time_interval},how much is the {sales department|department} {paying|money} its employees in aggregate,{IT support|position} {lowest|extreme} {earner|money},Was {Mia|name} {fired in between the month of June and August|date_time}?,,get me {accountants|position} {born|date_time} {after 1990's|sys_interval},
did {Nan|name} hear about us through {Glassdoor|employee_source}?,How many employees {meet|performance_score} the expectations of the job role?,employees {older than|age} {30 years|sys_duration},{Hourly|time_interval} {pay|money} {Mia|name},get me the {total|function} amount that the {sales|department} {pays|money} current workers,the {lowest|extreme} 10 {earners|money} in {Sales|department},tell me the date when {Mia|name} had to {leave|employment_action} the company,,who are our {90's|time_interval} {born|date_time} {IT support|position} staff,
,Employees with more than {5 yrs|sys_duration} of experience in their field,employees that live in {california|state},{Mia|name} {hourly|time_interval} {pay|money},,,What was {Amy|name}'s official join date at this company?,,,
,How many employees fall {below expectations|performance_score}?,employees from {MA|state},{Mia|name} {hourly|time_interval} {compensation|money},,,What is the duration of {Ivan|name}'s employment with the company?,,,
,How many employees are out of state?,{MA|state} employees,,,,,,,
,How many employees are between {20|sys_number} and {30 years old|age}?,{MA|state} employees list,,,,,,,
,How many employees are {older than|comparator} {35|sys_number}?,give me a list of employes that are based in {MA|state},,,,,,,
,What is the employee's race?,{MA|state} based employees,,,,,,,
,How many employees live in {California|state}?,employees based in {MA|state},,,,,,,
,How many employees are above 35?,Which employees are {managers|position}?,,,,,,,
,How many employees are from {New York|state}?,employees that are {managers|position},,,,,,,
,How many employees were {born in January|date_time}?,list of {managers|position},,,,,,,
,How many {software engineers|position} do we have?,{managers|position} list,,,,,,,
,How many workers performed {below expectations|performance_score}?,{manager|position} employees,,,,,,,
,How many {software engineers|position} work for us?,employee {managers|position},,,,,,,
,How many employees are named {Ivan|name}?,{managers|position},,,,,,,
,When do we most often {hire/fire|employment_status} people?,,,,,,,,
,How many employees are {over|comparator} the {age of|age} {30|sys_number}?,,,,,,,,
,Number of {Married|maritaldesc} employees,,,,,,,,
,Hiow many employees are in our department?,,,,,,,,
,How many {business analysts|position} are employed?,,,,,,,,
,How many people are {over|comparator} {21|sys_number}?,,,,,,,,
,How many employees work for {Michael Albert|manager}?,,,,,,,,
