get_info,get_aggregate,get_employees,get_salary,get_salary_aggregate,get_salary_employees,get_date,get_date_range_aggregate,get_date_range_employees,get_hierarchy_up,get_hierarchy_down
what is {mia|name} {position|position},{mean|function} employees that are {divorced|maritaldesc},who is not {divorced|maritaldesc},How much does {Mia Brown|name} get {paid|money}?,{Payrate|money} {avg|function} {Network engineers|position},Tell me the employee that {works for|manager} {Mike Guilianno|name} that {earns|money} the {greatest|extreme} amount?,Get me {Donna Brill|name}'s {Bday|dob},{how many|function} people were based out of {IN|state} in the {last|date_compare} {4 years|sys_duration}?,Make me a list of employees {born in|dob} {twenties|time_interval},employees that directly that {report|manager} to {Phil Close|name},for which of our employees is {jacquelyn|name} the {manager name|manager}
I want {mei trang|name}'s {state|state},What is the {average|function} tenure of employees in {California|state}?,All employees from {MA|state},How much {pay|money} does {Phil Close|name} bring in {every day|time_recur}?,what is the {summed|function} {earnings|money} of the employees whose {manager|manager} is {William|name}?,who has the {greatest|extreme} {earnings|money} among the {director of sales|position},{Amy|name} {date of birth|dob},{1975|sys_time} {born|dob} employees {ratio|function},{non citizens|citizendesc} {terminated|employment_action} in {2015|sys_time},I want to know the name of the {supervisor|manager} for {barone|name},does {Travis|name} {lead|manager} {linda dolan|name}
is {ivan|name} {male|sex} or {female|sex},Tell me about the {total|function} {count|function} of {production technician|position}s who are promoted to {manager|manager},workers doing {software engineering manager|position},{mathew linden|name} {paycheck|money} {every year|time_recur},"of the {president & ceo|position}s, give me the {min|extreme} {earner|money}",how much are {vendor referral|employee_source} {paycheck|money}?,What is {Nore|name}'s number of {years of experience|employment_action}?,what is the {number of|function} employees {born|dob} {two years|sys_duration} {before|date_compare} or {after|date_compare} {1980|sys_time},Give me all the employees that have a {birthday|dob} {this month|sys_time},I want to know the name of the {lead|manager} for {adeel Osturnka|name},is {Erasumus Monkfish|name} the {manage|manager} for {Bartholemew Khemmich|name}
what is {mia|name}'s department,{total|function} {number of|function} employees are {single|maritaldesc}?,"{min|extreme} {10|sys_number} {age|age} employees, who are they?",Does {nan|name} {make|money} {6 figs|sys_number}?,how much are {referred employees|employee_source} {making|money} on {average|function}?,list of {top|extreme} {twenty|sys_number} {earners|money} in the {Production department|department},Was {Colombui Ndzi|name} {date of hiring|employment_action} the same month that she {ended employment|employment_action}?,{How many|function} employees were {hired|employment_action} {last year|sys_time}?,Get me the employees that were {born|dob} {before|date_compare} {August|sys_time} but {after|date_compare} {May|sys_time},employees that directly {report|manager} to {Mr.mia|name},get me a list of all of the employees that are currently {reporting|manager} directly to {Nan Singh|name}
whats {Barry|name}'s {job|position} ?,Give an estimate {total|function} of the {female|sex} strength in this company?,Which employees have the {highest|extreme} {performance score|performance_score}?,"Does {624,450|sys_number} exceed what mr. {Sloan|name} {paycheck|money} {month to month|time_recur}?",{maximum|extreme} {paycheck|money} for a {director of operations|position},who is the {highest|extreme} {earning|money} {IT Director|position} and what is {he|sex} or {she|sex} {earning|money},When was {Lenora Tejeda|name} {born|dob}?,{count|function} of {non-citizens|citizendesc} people {born|dob} {before|date_compare} {1994|sys_time},Which employees have been {started working|employment_action} {this year|date_compare}?,I want to know the name of the {manager|manager} for {Amy Dunn|name},which of our employees have {Mia Brown|name} as their {manager|manager}
what is {simon|name}'s {job title|position},{How many|function} managers are there?,workers doing {information technology support|position},Is {34k|sys_number} {more than|comparator} what {janine Purinton|name} {income|money}s she has in {a year|sys_duration}?,How much in {earnings|money} did all employees {hired|employment_action} in the {this month|date_compare} {make|money}?,What are the {yearly|time_recur} {salaries|money} for all of the employees that {work for|manager} {Janet King|money},How long has {Simon Roup|name} {worked here|employment_action} and was it the same month that she was {hired|employment_action}?,{from abroad|citizendesc} employees that {joined|employment_action} {after|date_compare} {2013|sys_time} {how many|function},Show me employees how have a {birthday|dob} in the {nineteen eighties|time_interval}?,can you tell me who the {supervisor|manager} is that is {supervising|manager} Ms. {Amy Dunn|name},for which employees is {Ivan Rogers singh|name} the {supervisor|manager}
which branch is it that {Melisa Gerke|name} is working in,What {percent|function} of people working here are {female|sex}?,{FL|state} employees,How much does Cisco give {Latia Costa|name} in {earnings|money} {on the hour|time_recur}?,{female|sex} {earnings|money} {typically|function}?,{female|sex} {paycheck|money},whats the date of {joining|employment_action} for ms.{Morway|name},{immigrant|citizendesc} workers was {fired|employment_action} {prior to|date_compare} {2009|sys_time} {count|function},Who are the people in {2007|sys_time} were {hired|employment_action},who is Ms. {Myriam Givens|name} {manager name|manager},which employees is {May Roberson|name} the {reporting|manager} authority for
What {race|racedesc} is {Nan|name}'s?,what is the {total|function} {number of|function} employees were {hired|employment_action} through a {newspager/magazine|employee_source}?,{MA|state} based employees,{Nan|name} {hourly|time_recur} {compensation|money},what are {production technicians|position} {making|money} on {average|function}?,I want a list with {salaries|money} of employees that are {not citizens|citizendesc},How long was {Sneha|name} working for?,{sum|function} of {non-citizen|citizendesc} people {hired|employment_action} {after|date_compare} {2005|sys_time},employees out of the {sales|department} dept {employed|employment_action} {before|date_compare} {2010|sys_time},"{Beatrice Chace|name}, who is the person that she {reports to|manager}?",{ed buck|name} {managing|manager} which individuals?
How well is the employee doing?,whats the {combined|function} {count|function} of managers in the {admin offices|department}?,Which employees have been recently {terminated|employment_action}?,What does {julia soto|name} {make|money} {on the hour|time_recur},what do {women|sex} {earn|money} over here on {typically|function}?,who {makes|money} {$|money} {less than|comparator} {73k|sys_number}?,{Michael Albert|name} {birthday|dob},{not a citizen|citizendesc} workers was {fired|employment_action} {prior to|date_compare} {2009|sys_time} {count|function},Any one {fired|employment_action} {this year|date_compare}?,can you tell me who {works for|manager} Ms. {colombui ndzi|name},Who {reports to|manager} {julia|name}
what {race|racedesc} is {mia|name},{added up|function} {count|function} of employees are {single|maritaldesc}?,Which employees are {female|sex}?,{Morissa|name} {earnings|money} amount {each day|time_recur},"on {average|function}, how much are {referred employees|employee_source} {earning|money}?",Which workers are {compensated|money} {more than|comparator} {35k|sys_number} but {less than|comparator} {60k|sys_number}?,"When {Trina Alagbe|name} was {born|dob}, what was the month",{count|function} of {from abroad|citizendesc} employees {born|dob} {before|date_compare} {1994|sys_time},Which employess were {hired|employment_action} in the {last|date_compare} {five years|sys_duration}?,Who is {Michael|name}'s {manager|manager}?,Who {reports to|manager} {mia|name}
Why did {Linda|name} {end employment|employment_action}?,{proportion|function} breakdown of employees that joined via {billboard|employee_source} and {on-campus recruiting|employee_source}?,who are our {production technician i|position},{Ermine Pelletier|name} {earnings|money} amt,how much are all the employees in the {sales|department} department getting {paid|money} in {avg|function},I want the {5|sys_number}{percent|function} {bottom|extreme} {earners|money} in the {Admin Offices|department},in what month was {Nan|name} {born|dob},{sum|function} of {eligible non-citizens|citizendesc} employees {hired|employment_action} {after|date_compare} {2005|sys_time},Do tell me who {joined|employment_action} the org in {2013|sys_time},I wanna know the name of the {supervisor|manager} for {martin|name},employees who {report to|manager} {mia|name}
does Mr.{Hogland|name} work as a {senior dba|position},Give an estimate {mean|function} of the {male|sex} strength in this company?,who is {divorced|maritaldesc},"Does {yen|name}s {income|money} exceed {48,000|sys_number}?",{average|function} employees {earning|money} {more than|comparator} {6 figure|sys_number} {$|money}?,Tell me who all are {making|money} {more than|comparator} {50k|sys_number},When did Cisco kick {mia brown|name} out of the company,{not a citizen|citizendesc} employees was {fired|employment_action} {prior to|date_compare} {2009|sys_time} {count|function},which employees from the {software engineering department|department} {join|employment_action} us in {2014|sys_time},Create me a list of all of the employees that are currently {managing|manager} {Taisha Goble|name},who are the people that {report to|manager} {ivan|name}
is anyone known as {Sam|name},Tell me the {percent|function} of employees are {married|maritaldesc}?,{it manager - db|position},{compensation|money} {ivan rogers|name},"of all the {it support|position}s, what is the {greatest|extreme} {salary|money} {$|money}",{men|sex} {salaries|money},"When {Brannon Miller|name} started {working here|employment_action}, what was the date",{immigrants|citizendesc} workers was {fired|employment_action} {prior to|date_compare} {2009|sys_time} {count|function},{since|date_compare} {2014|sys_time} which employees have been {fired|employment_action} that are {male|sex},Who is {mia brown|name}'s {manager|manager}?,employees who {report to|manager} {Nan Singh|name}
What is {colleen|name}'s {job|position} ?,{summed|function} up {number of|function} {fired|employment_action} employees due to {sexual harassment|reason_for_termination}?,Which employees have been with the company longest?,"Does {Colby Andreola|name}'s {make|money} {more than|comparator} {48,000|sys_number}?",what {percent|function} of employees {make|money} {25|sys_number} {rate|money}?,Which {senior database admin|position}s {earn|money} the {least|extreme}?,whats {Julia Soto|name} num yrs {of experience|employment_action}?,{non-citizens|citizendesc} people was {fired|employment_action} {prior to|date_compare} {2009|sys_time} {count|function},{1980s|time_interval} {bday|dob} {dudes|sex},tell me the {supervisor|manager} that is {reponsible for|manager} {Nan|name} as well as the {supervisor|manager} reponsible for {Julia Soto|name},get me a list of all of the employees that are {reporting to|manager} {alex sweetwater|name}
I want {Lori Roby|name}'s {state|state},{How many|function} employees work for the {collab department|department}?,Show {widowed|maritaldesc} employees,Is {Leigh|name} being {paid|money} {40k|sys_number}?,What is the {avg|function} {earning|money} of {software engineering manager|position} in the {TN|state}?,folks {making|money} {less than|comparator} the {avg|function},What was the date {Brandon LeBlanc|name} {start date|employment_action},{immigrant|citizendesc} workers with {birthday|dob} {before|date_compare} {1996|sys_time} {count|function},{nineteen thirties|time_interval} {born|dob} {female|sex}s,I would like you to tell what the name is of {kelley|name}'s {managing|manager} employee?,can i have the names of employees who report to {barbara stanford|name}
what is {Adell|name}'s official {position|position} ?,What is the {average|function} {age|age}?,All the {July|sys_time} {birthdays|dob},What does the {payroll|money} say about {Brandon LeBlanc|name}'s {$|money},{average|function} {pay rate|money} for {women|sex}?,Get me the {bottom|extreme} {twelve|sys_number} {earners|money} in the {sales|department} department,Which date was {Nan Singh|name} {let go|employment_action}?,{not a citizen|citizendesc} workers that {joined|employment_action} {after|date_compare} {2013|sys_time} {how many|function},Get me {40's|time_interval} {born|dob} {female|sex},Who is the {manager|manager} for {Bob|name},which employees is {Thelma Petrowsky|name} the {manager|manager} for
tell me the {performance|performance_score} of {taylor|name},{How many|function} employees live in {California|state}?,Show me all of the {software engineering manager|position},Tell me who earned the {min|extreme} that has {been with the company|employment_action} {this year|sys_time}?,what is the {average|function} {earning|money} in the {software engineering|department} dept,what are the {salaries|money} for employees that have been {terminated|employment_action},Please get me {DOB|dob} of {Gerry Friedman|name},{count of|function} {not citizens|citizendesc} {let go|employment_action} {prior to|date_compare} {2010|sys_time},"Which employees have a {start date|employment_action} {post|date_compare} {Jan 1, 2014|sys_time}?",who is {Benjamin Burkett|name}'s {manager|manager} that {Benjamin|name} currently {is under|manager}?,Who are those employees that are {under|comparator} and {work for|manager} {Nilson Fernandes|name}?
state of {Caroline Cierpiszewski|name},Give an estimate {total|function} of the {male|sex} strength in this company?,Which employees are {married|maritaldesc}?,Is {ivan rogers|name} being {paid|money} {$40k|sys_amount-of-money}?,how much are all the employees in the {software engineering|department} getting in {income|money} in {total|function},{female|sex} {earn|money},How long has {Jyoti Lajiri|name} been working here?,{count|function} of {immigrant|citizendesc} employees {born|dob} {before|date_compare} {1994|sys_time},{non-citizen|citizendesc} with a {start date|employment_action} in {2013|sys_time},"Who's the guy that our employee,{Brad Pitt|name}, currently {works for|manager}?",I want to know if {Noah Villanueva|name} is a {manger|manager}
Is {hong pham|name} {on a leave of absence|employment_status}?,what {proportion|function} of employees were {hired|employment_action} through a {job fair|employee_source}?,{sales manager|position},{ivan|name} {earning|money} amount {daily|time_recur},"among all of the employees that found their job from an {website banner ads|employee_source}, what is their {typically|function} {earning|money}?",who {earns|money} {more than|comparator} {40k|sys_number}?,{ivan|name} {start date|employment_action},{count of|function} {non citizen|citizendesc} {let go|employment_action} {prior to|date_compare} {2010|sys_time},{divorced|maritaldesc} {hires|employment_action} {this month|sys_time},Find me the names of everyone that is {managing|manager} mr.{salter|name},{Mia Brown|name} is the {supervisor|manager} for which of our employees
what is the {race|racedesc} of {ivan|name},{How many|function} employees in the {IT department|department}?,{production manager|position},How much does {David Stanley|name} {pay|money} {on an hourly basis|time_recur}?,what do {female|sex} workers {make|money} here on {avg|function}?,show me the {highest|extreme} {earning|money} {IT Director|position} {salary|money},{Catherine Ybarra|name}'s {bday|dob} is in which month,{not citizens|citizendesc} employees was {fired|employment_action} {prior to|date_compare} {2009|sys_time} {count|function},{40's|time_interval} {Bday|dob} {women|sex},who {manages|manager} Mr.{patrick Moran|name},Which are all of the employees who are having {Melinda Saar-Beckles|name} as the name of their {manager|manager}?
job title of {taylor|name},What {percentage|function} of employees are {married|maritaldesc}?,Which employees are in the {engineering department|department}?,How much {earning|money} does {Geoff Dickinson|name} bring in {each week|time_recur}?,what {number of|function} people {earn|money} {fewer than|comparator} {30|sys_number} {dollars|money} {an hour|sys_duration}?,Which {senior database administrator|position} {earns|money} the {least|extreme}?,"{fire date|employment_action}, {Ivan|name}",{sum|function} of {us citizen|citizendesc} employees {hired|employment_action} {after|date_compare} {2005|sys_time},employees from the {software engineering|department} department that were {let go|employment_action} of in {2014|sys_time},{jason salter|name} {lead|manager} personnel,Tell me which employees have {ebonee|name} as their {manager|manager}
Pls describe the {race|racedesc} of {Lei-Ming Nguyen|name},whats the {cumulative|function} {non citizen|citizendesc} {count|function}?,All the {September|sys_time} {birthdays|dob},Does {Lisa Galia|name} {earner|money} {6 figures|sys_number}?,"Employees {fired|employment_action} {between|comparator} {2008|sys_time} and {2012|sys_time}, {average|function} {earnings|money}",Of all employees that {started at the company|employment_action} {4|sys_number} to {7 years|sys_duration} ago which employee has the {smallest|extreme} {paycheck|money}?,{Joelle Burke|name} {bday month|dob},{us citizen|citizendesc} people was {fired|employment_action} {prior to|date_compare} {2009|sys_time} {count|function},Which employees {joined|employment_action} the company recently,is {Anthony Cisco|name} {management|manager} {Desiree Tavares|name},Who are those employees that right now have {Raul Garcia|name} as their {manager|manager} they are {working under|manager}
Why was {Mia|name} {fired|employment_action}?,What {percentage|function} of employees are {exceeding expectations|performance_score}?,{it manager - db|position} list,"{daily|time_recur}, how much does {Elizabeth Meads|name} {$|money}?",what is the {average|function} {income|money} that employees that are {non citizen|citizendesc} {earn|money}?,{highest|extreme} {income|money} {salaries|money},Tell me {Ivan Rogers|name}'s {dob|dob},{non-citizen|citizendesc} people was {fired|employment_action} {prior to|date_compare} {2009|sys_time} {count|function},Employees that worked for the company for {less than|comparator} {a year|sys_duration},Who is {Mia Brown|name}'s {manager|manager}?,Gimmmie a list of employees that are currently {work for|manager} {Rex|name}
What {position|position}  is {ivan|name} in?,{percent|function} of employees that are {male|sex}?,{youngest|extreme} employees list,Describe {debbie mangal|name}'s {$|money},give me the {total|function} {earnings|money} of the {women|sex} in this org,show me the {annual|time_recur} {pay|money} of the {female|sex},{Amy|name} {date of fire|employment_action},{count|function} of {eligble non citizen|citizendesc} employees {born|dob} {before|date_compare} {1994|sys_time},{white|racedesc} employees {born|dob} {after 1990|sys_interval},who all is {manager|manager} for {Brooke Oliver|name},i want the name of everyone that is {working for|manager} {jacquelyn williams|name}
Is {Nan|name}'s {race|racedesc} {Asian|racedesc}?,{How many|function} of {Nan Singh|name}'s reports left the company?,workers that have been {married|maritaldesc},"Does {60,000|sys_number} exceed what {ivan|name} {earns|money} {every year|time_recur}?",{total|function} {salary|money} for {male|sex}s in the org,Tell me the employee that {works for|manager} {Jennifer Zamora|name} that {earns|money} the {least|extreme} amount?,How long has Mr.{lin chan|name} been with the company?,{count|function} of {eligble non citizen|citizendesc} workers {born|dob} {before|date_compare} {1994|sys_time},get me {software engineering manager|position}s {born|dob} in the {1990's|time_interval},{Julia Sotoh|name} {managed by|manager} name,{taisha goble|name} is the {mentor|manager} of which employees
Is ms.{Carter|name} a {married|maritaldesc} {woman|sex}?,Get me the {fraction|function} of employees that {need improvement|performance_score} of all employees within the org,Give me employees who are {separated|maritaldesc},"{every year|time_recur} {earnings|money}, {Jeanette Tippett|name}",{total|function} {count|function} of employees {making|money} {less than|comparator} {6 figure|sys_number} in {salary|money}?,Who {makes|money} the {least|extreme} in the {production|department} department,{Ivan Soto|name} {DOB|dob},{eligible non-citizens|citizendesc} people with {birthday|dob} {before|date_compare} {1996|sys_time} {count|function},{married|maritaldesc} employees {hired|employment_action} {last year|sys_time},get me ms. {Keyla Del Bosque|name}'s {supervisor|manager} full name,I want an employee list with all of the folks {working under|manager} {Lindsay Lynch|name}
where is {wilson adinolfi|name} from,{aggregate|function} of employees who are {male|sex}?,Which employees are {asian|racedesc}?,What does {Hang Wolk|name} get for {income|money} {each month|time_recur}?,"Of the employees {born|dob} {before|date_compare} {1990|sys_time}, what is the {average|function} {pay|money}?",I want a list with {earnings|money} of employees that are {American citizens|citizendesc},What was {Nicole Fancett|name}'s {date of hire|employment_action}?,{count|function} of {immigrants|citizendesc} workers {born|dob} {before|date_compare} {1994|sys_time},Fetch me a list of workers that have their {b day|dob} in the {eighties|time_interval},{lead|manager} employee for the employee {Trina alagbe|name},Give me all of the employees hv {taisha|name} as their {manager|manager} that they {are under|manager}?
what is the {race|racedesc} of {Mia|name},{How many|function} people are there {under|comparator} {30|sys_number}?,employees that are {area sales manager|position},{Hourly|time_recur} {pay|money} {Nan|name},what {fraction|function} of employees {make|money} {less than|comparator} {69 grand|sys_amount-of-money}?,the {lowest|extreme} {10|sys_number} {earners|money} in {Sales|department},How long has {Karthikeyan Ait Sidi|name} worked here?,{eligible non-citizens|citizendesc} employees with {birthday|dob} {before|date_compare} {1996|sys_time} {count|function},{two or more races|racedesc} {born|dob} in the {nineteen thirties|time_interval},get me ms. {Renee Becker|name}'s {leader|manager} full name,{works for|manager} {Brannon Miller|name}
where is {Mia Brown|name} from,{How many|function} employees were {born|dob} in the year {2009|sys_time}?,Which employees are not {citizens|citizendesc} at my office location?,Does {Lei-Ming Nguyen|name} {dollars|money} {more than|comparator} {50k|sys_number}?,What is the {avg|function} {salary|money} in this organization?,Who {makes|money} the {most|extreme} in the {it|department} department,{Shana Maurice|name}'s {bday|dob} is in which month,{non us citizen|citizendesc} employees was {fired|employment_action} {prior to|date_compare} {2009|sys_time} {count|function},Which employees were {born|dob} in the month of {March|sys_time},I wanna know the person who {Donysha Kampew|name} {reports to|manager} at the company,Which employees have {Cayo Gonzalez|name} as their {manager|manager}?
What is {Caroline|name}'s {position|position} ?,{How many|function} employees {meet|performance_score} or {exceed expectations|performance_score}?,Which employee(s) are from {Asia|racedesc}?,Does {Jennifer Zamora|name} {earner|money} {6 figures|sys_number}?,How did the {average|function} employee who was {fired|employment_action} after {2017|sys_time} {make|money}?,Which {hispanic|racedesc} employee {earning|money} the {max|extreme},What year was {ivan rogers|name} {hired|employment_action}?,{count of|function} {from abroad|citizendesc} {let go|employment_action} {prior to|date_compare} {2010|sys_time},{black or african american|racedesc} {born|dob} in the {thirties|time_interval},Please give me which employees is {Mia Brown|name} is working {under|manager},can you tell me whether {Juan Gonzalez|name} is a {boss|manager} or not?
position that {shari ngodup|name} is in?,{summed|function} {count of|function} workers that are {older than|comparator} {23|sys_number} {years old|age}?,Show me all of the {president & ceo|position},{Julia|name} {Payroll|money} {Salary|money},what is the {total|function} of {pay|money} for those who came by {on-line web application|employee_source}?,get the {salaries|money} of workers that are {earning|money} in the {lowest|extreme} {salary|money} bracket,{mia brown|name}'s {bday|dob} is in which month,{sum|function} of {not a citizen|citizendesc} employees {hired|employment_action} {after|date_compare} {2005|sys_time},{March|sys_time} {born|dob} folks,employee list with {manager|manager} being {Ivan Singh|name},Who are those employees that directly {report|manager} to {Joe Smith|name}
Is {barry|name} {widowed|maritaldesc} or {separated|maritaldesc}?,{How many|function} {women|sex} are in the {Engineering Department|department}?,who is {single|maritaldesc},What does {Donysha Kampew|name} {earn|money} {on a daily basis|time_recur}?,What is the {percent|function} is {earned|money} by {sales manager|position}s in the company?,I want the {earnings|money} for people working in the {software engineering|department},Give me the {bday month|dob} of {Ludwick Harrell|name},{sum|function} of {immigrant|citizendesc} employees {hired|employment_action} {after|date_compare} {2005|sys_time},employees {born in|dob} the {nineteen sixties|time_interval}?,What is {Mia|name}'s {manager|manager}'s name?,All of the employees that are {reporting to|manager} to Mr. {tanya|name} if any
who is {Nan|name}?,What {percent|function} of employees are {american citizens|citizendesc}?,get me the {maximum|extreme} {five|sys_number} {how many|function} of employees,{Karthikeyan Ait Sidi|name} {$|money} {earn|money},{production|department} {pays|money} its employees what on {average|function},{male|sex} {incomes|money},When did {Ricardo Ruiz|name}'s {start working|employment_action}?,{count|function} of {us citizen|citizendesc} workers {born|dob} {before|date_compare} {1994|sys_time},All employees with {bday|dob} in the month of {June|sys_time},{julissa hunts|name} {manager|manager} name,is {seffi|name} the {manager|manager} of {ned miller|name}?
{taylor|name}'s {race|racedesc} is what,{fraction|function} {male|sex} managers there are,{AL|state} employees,{Nan|name} {pay|money} amount,what is the {mean|function} of {salaries|money} for {referred employees|employee_source}?,{below|comparator} {average|function} {earning|money} workers,{Denisa Dobrin|name} {hired|employment_action} when,{count|function} of {eligible non-citizens|citizendesc} employees {born|dob} {before|date_compare} {1994|sys_time},Fetch me a list of workers that have their {bdays|dob} in the {thirties|time_interval},I wanna get a list of all of the employees that are currently {manage|manager} {Jeanette Tippett|name},can i get the employee names for those {reporting|manager} to {Jessica|name}
What is {Ivan|name}'s last name?,What {percent|function} of employees are managers?,employees based in {MA|state},Is {55k|sys_number} {more than|comparator} what {Tayana|name} {earn|money}s in {a year|sys_duration}?,What is the {typical|function} {compensation|money} for company employees {born|dob} {after|date_compare} {1980|sys_time} but {before|date_compare} {1990|sys_time}?,who are the company's {highest|extreme} {21|sys_number} {american indian or alaska native|racedesc} {earners|money},{date of hire|employment_action} {Brooke|name}?,{non us citizen|citizendesc} workers with {birthday|dob} {before|date_compare} {1996|sys_time} {count|function},Who worked for this org for {less than|comparator} {a year|sys_duration},"{julissa|name} does {work for|manager} who, I want the name",{april|name} {manages|manager} which individuals?
is {Quinn|name} {divorced|maritaldesc}?,{total|function} employees {male|sex}?,employees that are {managers|position},how much {make|money} does {Rex England|name} make?,What {percent|function} of workers {made|money} {below|comparator} {70 grand|sys_amount-of-money} that were {hired|employment_action} in the {last|date_compare} {3 years|sys_duration},Tell me who earned the {least|extreme} that was {hired|employment_action} {this year|sys_time}?,{Amy|name} {date of birth|dob},{non citizen|citizendesc} people that {joined|employment_action} {after|date_compare} {2013|sys_time} {how many|function},{hired|employment_action} {2015|sys_time} who are these employees,{eric dougall|name} {lead|manager} employee,Get me an employee list with people who {work for|manager} {Alex Gilles|name}
"Please tell, is {barbara gaul|name} {widowed|maritaldesc} or not?",{portion|function} of {voluntarily terminated|employment_status},provide me a list of {accountant i|position},{julia soto|name} {salary|money} amount info,"of all the {cio|position}s, what is the {min|extreme} {earnings|money}",which {director of sales|position} are {paid|money} {less than|comparator} {$|money} {90k|sys_number}?,{Brigit McCarthy|name} {date of birth|dob},{count|function} of {non-citizens|citizendesc} employees {born|dob} {before|date_compare} {1994|sys_time},{July|sys_time} {DOB|dob} workers,"Does {Amy Dunn|name} have a {manager|manager}, if so who is it?",for which employees is {megan faller|name} the {boss|manager}
is {Bonalyn|name} {terminated|employment_status} from the company or not,What {percentage|function} of employees are {female|sex}?,workers that have been {divorced|maritaldesc},Does {Josephine Bugali|name} {earn|money} {6 figures|sys_number}?,What is the {average|function} {pay rate|money} for {executives|position}?,what are the {salaries|money} for employees that have been {fired|employment_action},{Nan|name} {date of employment termination|employment_action},{from abroad|citizendesc} people that {joined|employment_action} {after|date_compare} {2013|sys_time} {how many|function},People {terminated|employment_action} {prior to|date_compare} {this month|date_compare},whats the first and last name of {Lei-Ming Nguyen|name}'s {reporting|manager} {manager|manager}?,if There is anyone {working for|manager} Mr. {Nan Singh|name} who are those people?
Is the {software engineering|department} the dept that {Jeremiah Semizoglou|name} currently work in,{How many|function} {software engineers|position} do we have?,Which employees are {it manager - db|position}?,Is it true that {Giovanni Leruth|name} has a {six figure|sys_number} {paycheck|money}?,{mean|function} {salary|money} for employees {working for|manager} {Mrs. Dunn|name},Who makes the {min|extreme} {earners|money}?,How long has {Nina Panjwani|name} been with the company?,{count|function} of {non-citizen|citizendesc} people {born|dob} {before|date_compare} {1994|sys_time},Do we have any {feb|sys_time} {born|dob} employees,who is Mr. {Neville Tredinnick|name} {reporting to|manager} to,who {works for|manager} {Jordan Winthrop|name}
position of {Mei|name},What is the {distribution|function} {ratio|function} of {non-citizen|citizendesc}?,{us citizen|citizendesc}s,How much is {Helen Billis|name} {earner|money}?,what are {female|sex} {earning|money} on {average|function}?,Show me the {4|sys_number}{lowest|extreme} {earning|money} employees in the {admin offices|department} department,What was {Brandon LeBlanc|name}s date when he started to {work here|employment_action}?,{us citizen|citizendesc} employees was {fired|employment_action} {prior to|date_compare} {2009|sys_time} {count|function},{15|sys_number} {bottom|extreme} recently {fired|employment_action} employees,can i get the employee names for those {reporting|manager} to Mrs. {power|name},can i have all of the names who report to {david gordon|name} as a list
What is {Julia|name}'s {race|racedesc} ?,{proportion|function} {fully meet performance expecations|performance_score} when looking at all employees.,employees are {female|sex}?,What does {ivan rogers|name}'s {compensation|money} look like?,How much {money|money} did all the employees {hired|employment_action} in the {last|date_compare} {three months|sys_duration} {make|money} {combined|function}?,what are our {lowest|extreme} {earners|money} {making|money},{Mei Trang|name} {birth date|dob},{non-citizens|citizendesc} employees that {joined|employment_action} {after|date_compare} {2013|sys_time} {how many|function},Give me a list of people {hired|employment_action} {this year|date_compare}.,{Giovanni Leruth|name} is the {manager name|manager} of which employees,Is {rose|name} a {manager|manager}
{george|name},{How many|function} workers performed {below expectations|performance_score}?,Which employees were {let go|employment_action} for {failure to complete compliance training|reason_for_termination}?,What is {julia|name} {compensated|money} on a {year to year|time_recur} basis?,"among all of the employees that found their job from an {pay per click - google|employee_source}, what is the {typical|function} {earning|money}?",who is {earning|money} the {least|extreme} in the {software engineering|department},"When {Joe South|name} was {born|dob}, what was the month",{sum|function} of {eligible non-citizens|citizendesc} people {hired|employment_action} {after|date_compare} {2005|sys_time},All employees were {born in|dob} the {30's|time_interval}?,{Desiree tavares|name} {is under|manager} which?,Are there any workers who {report to|manager} to Mr.{ashley|name}
what is the title of {simon|name}'s {job|position},{summed|function} {number of|function} employees that are {meeting 90 day expectations|performance_score}?,employee {it support|position},How much is {Lei-Ming Nguyen|name} {earner|money}?,{total|function} {salary|money} for employees {reporting|manager} to {Samuel MacLenIvan Rogers|name},Which {black or african american|racedesc} employee {earn|money} the {minimum|extreme},Please tell me {nan|name}'s {hiring date|employment_action},{sum|function} of {not citizens|citizendesc} workers {hired|employment_action} {after|date_compare} {2005|sys_time},"from {last|date_compare} {july|sys_time} to {last|date_compare} {jan|sys_time}, which employees {joined|employment_action} the organization in the {software engineering department|department}","is there anyone {incharge|manager} of Ms. {Tayana Jeannite|name}, if so who are those people?",for which employees is {jeremy|name} the {leadership|manager}
does {Shakira|name} work as a {software engineering manager|position},Tell me {aggregate|function} of employees are {non citizen|citizendesc}?,Which employees are {accountant i|position}?,Describe {Kelley|name}'s {earnings|money},{day by day|time_recur} {pay|money} for {non-citizen|citizendesc},{$|money} of {male|sex} in the org,What was the {end date|employment_action} for {Sean Quinn|name}?,{sum|function} of {non-citizen|citizendesc} employees {hired|employment_action} {after|date_compare} {2005|sys_time},{white|racedesc} {born|dob} in the {forties|time_interval},can i get the employee names for those {managing|manager} {jordan winthrop|name},Tell me who is the worker {reporting|manager} to {shari ngodup|name}
